Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,MorningStar Rating
7.12,0.0,2.6331360946745566,6.26,3.52,23.97,8.9,3.38,0.57,1.15,3.0
135.98,0.74,34.87,54.39,119.71,185.19,37.48,7.27,0.76,2.45,3.0
33.95,4.32,24.78,29.33,28.89,37.05,14.38,3.9,0.95,1.12,3.0
95.95,0.0,18.81,18.36,86.03,135.2,6.6,0.59424,3.33,5.14,3.0
60.04,1.73,27.48,31.52,55.11,73.6,17.75,1.98,2.65,1.88,3.0
99.47,0.0,33.27,11.81,76.34,99.48,22.18,1.6,4.17,8.33,2.0
15.3,3.32,7.61,18.48,13.84,21.93,12.01,0.0,1.92,0.81,4.0
46.01,1.79,16.37,21.56,39.48,62.26,6.39,1.12,0.35,2.14,3.0
37.38,1.74,10.22,14.27,32.24,64.72,5.0,0.5998,1.51,2.59,3.0
27.38,1.1,23.11,7.51,22.65,34.81,52.51,6.15,1.98,3.64,4.0
27.38,1.1,23.11,7.51,22.66,35.85,52.51,6.15,1.98,3.64,4.0
150.43,2.55,49.65,23.8,124.87,153.32,10.48,0.47367,13.71,6.16,1.0
72.25,0.0,12.74,53.4,40.25,72.52,7.29,0.84235,1.92,1.3,3.0
23.86,0.0,14.04,10.97,22.3,44.43,5.46,0.7865,0.88,2.23,2.0
5.31,9.31,2.7192982456140355,5.01,3.81,8.05,6.2,2.28,1.13,1.06,3.0
65.14,3.27,22.16,32.64,46.36,65.16,7.84,1.2,1.98,1.99,3.0
137.24,2.02,15.11,34.46,121.61,153.76,42.76,4.66,1.34,3.92,3.0
29.23,3.13,17.937657430730482,10.09,19.37,31.49,284.85,15.88,2.39,2.85,3.0
90.16,1.93,7.57,13.44,81.89,123.37,128.21,23.35,3.89,6.65,4.0
60.14,3.02,24.87,8.09,47.5,60.18,35.68,3.47,2.02,7.29,2.0
18.12,2.89,18.17,14.59,15.42,24.89,20.16,2.49,2.2,1.23,3.0
29.5,5.13,4.99,26.58,24.62,38.99,45.56,13.69,0.29,1.08,4.0
705.75,0.0,29.91,175.07,515.18,789.87,485.78,24.42,6.42,4.0,3.0
729.12,0.0,30.9,175.07,529.0,810.35,501.87,24.42,6.62,4.12,3.0
91.87,2.85,19.84,20.9,76.5,97.29,13.83,1.29,0.9,4.36,2.0
27.6,3.4,11.29,6.46,21.57,43.9,11.09,2.37,0.68,4.22,5.0
40.31,4.98,16.87,17.63,30.93,50.79,7.65,0.62794,2.73,2.3,3.0
148.25,1.75,12.21,171.45,139.05,218.77,65.47,0.0,1.9,0.85,4.0
217.5,2.12,18.78,37.93,176.85,252.87,13.49,1.53,1.34,5.69,3.0
32.5,2.19,6.855036855036854,18.06,27.64,50.2,27.9,4.07,1.18,1.8,1.0
76.13,2.74,21.32,13.31,59.74,84.42,9.51,0.84726,2.13,5.69,2.0
8.64,3.17,10.67,7.81,7.83,11.9,6.87,0.0,2.35,1.09,3.0
28.07,1.63,26.48,3.26,23.25,34.8,10.99,0.97435,1.89,8.48,4.0
70.0,0.0,14.03,-19.06,43.91,95.49,27.91,7.87,0.7,-3.672612801678909,3.0
62.67,5.7,26.78,38.29,52.8,80.35,22.26,1.9,5.79,1.61,3.0
29.66,7.94,7.629834254143646,20.07,25.11,44.79,13.81,1.81,5.29,1.44,4.0
126.86,1.92,23.8,6.01,92.17,135.47,160.84,13.14,1.84,20.9,2.0
41.58,2.24,7.362499999999999,68.45,32.41,79.0,11.78,1.6,1.81,0.61,2.0
43.32,2.89,11.74,10.01,36.36,65.2,7.96,1.36,1.29,4.21,3.0
104.19,2.26,17.25,23.73,87.0,111.86,80.16,7.71,2.06,4.35,3.0
68.96,2.23,23.94,7.68,56.87,87.99,11.64,1.12,3.76,8.79,3.0
51.5,5.1,23.86,44.72,40.02,79.9,5.56,1.02,2.14,1.15,3.0
13.68,1.59,10.21,19.25,11.62,18.5,23.84,7.67,0.45,0.7,3.0
10.34,4.64,4.17,15.4,8.91,16.17,18.53,12.2,0.19,0.7,3.0
43.87,1.35,31.79,7.87,27.08,45.72,23.2,1.3,2.52,5.55,2.0
169.35,0.0,29.76,35.0,126.17,169.45,13.88,0.92803,1.29,4.79,1.0
91.94,2.58,39.63,4.82,82.41,104.32,19.97,1.7,2.67,18.8,4.0
176.6,0.68,20.92,69.77,155.24,219.79,26.19,2.57,0.47,2.47,3.0
134.5,3.89,10.02,14.76,116.9,176.3,129.93,19.59,1.57,8.99,3.0
245.03,1.38,21.51,124.44,220.28,268.89,28.19,2.13,8.42,1.96,3.0
105.02,2.13,20.75,19.86,97.24,122.84,8.4,0.70166,2.81,5.35,4.0
152.4,0.0,49.16,12.66,130.0,242.37,22.24,0.66985,9.83,11.8,3.0
29.62,3.54,12.71,12.93,24.87,35.59,139.92,23.07,2.49,2.26,3.0
100.07,1.22,67.34,3.98,79.63,109.21,26.42,1.17,6.08,24.86,2.0
34.79,5.12,15.6,9.47,32.5,57.01,14.4,3.68,0.64,3.66,2.0
21.58,2.83,19.8,4.59,18.16,23.8,8.77,1.03,1.14,4.66,2.0
56.49,2.38,22.79,22.26,47.08,70.93,14.51,1.81,1.07,2.49,3.0
29.93,6.59,48.75,2.88,23.64,38.91,6.32,0.90255,2.03,10.13,3.0
559.28,0.0,35.99,115.5,447.0,580.0,20.91,0.8387,8.74,4.79,3.0
94.98,2.28,18.51,14.36,78.79,100.14,34.55,3.34,2.56,6.56,2.0
26.88,3.97,11.91,18.65,24.9,42.05,11.37,1.46,2.16,1.4,4.0
77.15,1.14,21.08,11.41,63.58,93.5,8.79,1.05,1.4,6.64,2.0
36.43,3.24,15.87,16.21,33.62,54.52,23.62,3.04,0.64,2.21,4.0
38.47,0.0,19.18,35.07,34.76,48.25,4.71,0.5578,0.4,1.1,3.0
106.38,2.86,19.42,25.86,81.79,106.39,294.35,21.99,4.14,4.06,2.0
24.96,1.61,15.7,11.94,21.49,32.39,9.56,1.08,1.96,2.08,3.0
57.01,3.0,9.5,60.29,50.07,70.61,209.47,0.0,2.3,0.93,3.0
52.43,2.88,16.64,5.02,44.49,83.16,9.1,1.72,0.62,10.34,3.0
74.91,2.71,43.55,6.08,61.13,76.24,26.22,1.97,1.91,12.16,2.0
10.69,2.74,10.17,12.51,9.88,15.7,8.93,0.0,2.17,0.84,4.0
74.96,3.14,28.876190476190477,48.48,61.42,81.2,90.96,3.15,6.32,1.51,2.0
27.12,3.77,13.56,12.21,22.07,28.08,11.21,0.73647,9.39,2.18,2.0
67.45,3.14,20.22,2.35,44.95,70.28,10.5,0.90007,3.63,28.24,3.0
133.5,2.8,48.19,-0.48,103.04,133.53,48.18,4.13,2.57,-278.125,2.0
17.75,2.79,181.12,15.75,11.2,44.71,39.61,6.82,2.74,1.12,3.0
46.26,0.0,15.48,14.74,41.25,75.4,9.05,1.18,0.59,3.07,2.0
44.16,3.19,26.44,5.91,36.56,44.18,190.95,12.1,4.29,7.43,3.0
39.46,1.1,19.52,6.49,27.32,42.75,38.46,5.6,0.35,5.96,2.0
46.67,4.0,12.4,28.66,39.23,79.6,8.86,2.58,0.45,1.59,3.0
82.34,1.59,18.71,36.03,62.2,117.55,8.93,1.1,3.64,2.25,2.0
85.67,2.86,21.51,-2.26,75.11,101.11,24.8,2.52,2.04,-37.907079646017706,4.0
42.24,0.39,12.2,26.75,37.14,56.04,8.93,1.16,0.92,1.54,3.0
110.72,0.0,25.51,49.46,97.79,131.19,11.22,1.61,1.31,2.23,3.0
43.81,2.94,21.48,6.87,36.41,49.57,10.49,0.70285,7.2,6.31,3.0
74.82,2.79,33.11,14.34,68.31,92.85,79.68,5.19,3.95,5.17,3.0
27.94,2.81,30.8,39.79,24.93,58.79,3.01,0.55244,1.1,0.7,4.0
220.03,3.07,19.2,10.22,181.91,227.91,66.67,6.7,1.42,21.19,2.0
68.7,1.61,21.8,9.14,62.62,78.13,62.87,6.95,1.08,7.51,3.0
72.43,1.71,14.99,35.01,61.2,84.48,11.51,1.39,1.9,2.01,2.0
42.59,0.73,13.04,11.36,31.36,51.34,27.18,5.19,1.34,3.64,3.0
78.18,3.87,8.15,14.88,69.1,107.32,33.79,7.13,1.02,5.21,3.0
43.37,3.51,11.23,12.63,34.05,73.61,13.63,3.67,0.49,3.39,3.0
87.42,0.87,26.1,5.4,74.61,101.76,97.1,5.58,9.93,16.0,4.0
68.3,1.5,21.68,-14.01,56.43,85.0,17.31,1.55,5.95,-4.875089221984297,3.0
28.91,1.37,28.23,-0.41,22.38,30.61,9.55,1.05,1.33,-70.51219512195122,2.0
33.14,4.69,30.69,7.75,19.45,34.36,11.26,0.6403,1.93,4.17,2.0
118.37,3.03,24.69,9.05,87.5,124.83,108.69,8.91,4.23,12.93,3.0
43.81,3.33,26.86,10.45,37.77,52.44,8.92,0.69614,4.12,4.18,3.0
155.37,0.72,18.58,38.83,148.29,243.61,35.52,4.29,0.19,3.98,4.0
41.58,1.71,9.36,17.73,33.97,48.58,65.23,4.66,2.16,2.3,3.0
77.66,1.98,44.38,37.17,55.54,79.5,109.2,7.71,4.16,2.06,3.0
39.42,3.83,8.63,61.88,35.0,58.23,43.28,7.96,0.61,0.62,3.0
73.37,2.23,22.44,-3.39,65.53,105.45,13.68,1.09,3.33,-21.64306784660767,3.0
94.1,1.88,30.26,13.12,71.01,94.17,11.96,0.7053,2.75,7.08,3.0
143.5,1.14,33.45,62.95,108.31,178.67,9.26,0.7675,2.82,2.27,3.0
158.99,2.82,20.97,19.22,134.0,170.5,96.2,8.5,3.14,8.18,3.0
67.32,0.0,17.83,46.13,52.01,134.26,7.53,1.43,2.12,1.44,3.0
133.11,0.0,46.2,22.96,113.08,160.5,26.98,0.95832,10.01,5.77,3.0
62.38,3.69,23.38,1.47,47.31,62.45,122.02,8.62,6.37,41.68,3.0
89.84,2.41,23.37,8.08,81.22,123.82,39.56,4.36,2.72,10.96,4.0
25.42,2.9,9.14,27.04,22.02,53.55,8.96,2.05,0.99,0.92,3.0
34.22,3.83,6.51,22.99,29.24,60.38,18.17,6.05,0.28,1.48,4.0
51.0,3.62,32.69,16.27,45.69,61.7,142.47,14.92,3.58,3.11,4.0
7.39,2.67,1.5105740181268883,28.56,6.52,31.53,5.0,3.31,0.87,0.25,2.0
24.63,2.44,8.49,34.97,21.16,41.04,47.29,0.0,1.29,0.68,4.0
52.1,2.74,36.87,9.69,39.72,56.85,412.07,30.46,4.61,5.3,4.0
105.29,2.56,14.66,93.62,100.08,134.0,16.8,0.0,3.72,1.12,3.0
10.72,0.0,5.83,11.89,9.31,31.5,11.12,4.91,0.74,0.9,5.0
16.43,5.1,2.096296296296296,30.94,14.3,51.61,2.83,1.35,0.95,0.54,3.0
