Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book
89.06,0.9,14.67,30.52,66.61,97.23,21.019,2.919,0.17,2.9
39.61,1.52,15.74,0.446,26.79,43.05,8.805,1.009,3.69,88.79
40.26,2.47,11.73,16.499,30.71,40.78,41.268,5.47,2.53,2.42
34.97,2.14,5.26,58.751,25.61,39.55,37.145,12.709,0.52,0.59
49.19,2.07,15.43,5.935,36.43,50.0,13.783,1.771,2.16,8.21
73.0,1.53,26.82,-0.085,60.62,88.72,14.875,0.9737,3.88,-858.8235294117646
60.16,2.02,21.27,12.224,43.62,61.79,7.979,0.6656,2.03,4.91
34.02,2.63,18.41,11.352,25.29,34.68,18.584,2.025,1.58,2.98
92.29,2.49,14.98,23.731,68.63,92.34,63.802,7.569,2.14,3.86
54.27,0.0,37.09,6.058,38.195,83.96,9.563,0.5104,5.99,10.1
34.96,4.72,16.04,2.108,25.05,36.29,70.864,7.528,4.08,16.47
26.26,3.15,16.09,13.853,18.81,28.46,4.631,0.6683,1.3,1.88
86.74,1.35,22.14,22.689,58.89,89.73,46.228,3.948,3.46,3.91
58.51,0.81,13.27,28.164,44.43,74.0,24.894,3.152,2.25,2.08
49.56,1.95,6.97,27.106,26.35,50.79,16.886,4.736,0.22,1.8
44.57,3.7,20.28,18.034,30.54,45.17,135.6,18.049,2.79,2.46
27.9,2.32,11.12,24.81,19.13,35.49,19.678,8.178,1.31,1.11
14.61,1.36,11.96,30.741,11.58,21.19,28.89,0.0,0.99,0.48
30.42,2.49,15.25,7.918,23.79,32.95,255.0,30.714,3.47,3.85
48.1,1.84,23.44,13.44,38.36,52.78,13.771,1.549,1.61,3.55
86.66,3.23,15.62,69.181,66.4,88.0,10.975,0.0,3.05,1.25
6.76,0.0,4.02280701754386,7.853,3.97,9.16,6.879,1.71,0.82,0.87
54.96,1.5,12.2,47.91,40.41,65.6,10.674,3.375,0.38,1.15
28.18,3.59,21.16,18.242,22.75,32.5,4.892,0.977,0.78,1.53
23.46,0.0,18.17,7.848,15.49,23.88,9.522,1.629,1.48,2.97
90.91,0.98,23.11,43.848,65.91,105.46,16.182,2.864,3.99,2.05
15.23,0.0,146.07,19.696,11.05,22.73,4.421,2.048,0.65,0.79
23.36,0.0,11.22,29.355,20.9,27.34,3.948,0.878,1.15,0.79
38.39,1.47,17.96,29.71,27.33,41.71,9.689,1.28,3.12,1.29
69.8,3.32,13.5,37.345,51.33,72.22,29.508,5.667,1.92,1.85
47.48,2.86,101.72,26.284,42.95,72.42,23.324,5.023,2.23,1.8
59.9,0.0,32.98,12.393,52.81,247.85,3.326,0.2281,0.93,4.67
32.11,0.0,7.46,31.684,25.01,56.59,4.247,1.933,1.64,1.02
25.17,3.68,23.79,17.928,19.48,26.15,7.168,1.463,1.38,1.41
94.5,1.46,20.1,22.666,78.5,114.81,43.08,3.435,1.8,4.19
68.5,3.0,8.79,43.199,49.2,68.55,16.934,3.681,0.66,1.58
77.36,0.61,14.15,44.14,47.97,87.72,32.984,3.934,1.93,1.74
20.86,0.43,20.47,32.075,14.29,24.12,4.75,1.447,0.53,0.65
74.56,2.54,12.63,30.602,57.57,78.5,23.823,4.305,2.07,2.41
32.58,0.0,20.34,11.776,27.79,46.8,11.957,0.9398,1.89,2.73
46.22,2.47,17.62,30.727,33.2,48.31,11.117,0.0,2.89,1.5
39.59,3.03,23.61,28.878,30.8,40.86,12.431,1.237,2.51,1.36
40.76,3.58,22.54,23.77,29.82,45.75,12.961,1.75,0.64,1.71
14.621,0.0,17.96,6.929,11.47,16.9,9.048,0.7888999999999999,2.3,2.12
16.98,1.97,55.29,6.748,10.87,19.49,4.96,0.9035,0.85,2.56
23.39,0.76,17.72,11.414,14.72,24.05,56.641,6.769,1.67,2.07
24.91,4.8,12.34,25.206,21.8,31.25,6.277,1.059,1.61,0.99
